time_s,time_min,orbit_fraction,min_distance_km,mean_distance_km,max_distance_km,availability,connected,representative_distance_km,representative_neighbor,mapping_changes
4011.08896253,66.85148271,0.70000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,396.51141456,47.00000000,0.00000000
4042.92300192,67.38205003,0.70555556,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,375.12816022,47.00000000,0.00000000
4074.75704130,67.91261736,0.71111111,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,354.35931766,47.00000000,0.00000000
4106.59108069,68.44318468,0.71666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,334.42978695,47.00000000,0.00000000
4138.42512007,68.97375200,0.72222222,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,315.60463162,47.00000000,0.00000000
4170.25915946,69.50431932,0.72777778,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,298.19313665,47.00000000,0.00000000
4202.09319885,70.03488665,0.73333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,282.54900245,47.00000000,0.00000000
4233.92723823,70.56545397,0.73888889,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,269.06304438,47.00000000,0.00000000
4265.76127762,71.09602129,0.74444444,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,258.14402584,47.00000000,0.00000000
4297.59531700,71.62658862,0.75000000,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,250.18439792,47.00000000,0.00000000
4329.42935639,72.15715594,0.75555556,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,245.51235961,47.00000000,0.00000000
4361.26339577,72.68772326,0.76111111,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,244.33967804,47.00000000,0.00000000
4393.09743516,73.21829059,0.76666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,246.72192890,47.00000000,0.00000000
4424.93147454,73.74885791,0.77222222,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,252.54725345,47.00000000,0.00000000
4456.76551393,74.27942523,0.77777778,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,261.55864330,47.00000000,0.00000000
4488.59955331,74.80999256,0.78333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,273.40001024,47.00000000,0.00000000
4520.43359270,75.34055988,0.78888889,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,287.66852215,47.00000000,0.00000000
4552.26763208,75.87112720,0.79444444,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,303.95848474,47.00000000,0.00000000
4584.10167147,76.40169452,0.80000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,321.89028830,47.00000000,0.00000000
4615.93571085,76.93226185,0.80555556,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,341.12504311,47.00000000,0.00000000
4647.76975024,77.46282917,0.81111111,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,361.36884402,47.00000000,0.00000000
4679.60378962,77.99339649,0.81666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,382.37091008,47.00000000,0.00000000
4711.43782901,78.52396382,0.82222222,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,403.91881605,47.00000000,0.00000000
4743.27186839,79.05453114,0.82777778,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,425.83281765,47.00000000,0.00000000
4775.10590778,79.58509846,0.83333333,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,447.96033546,47.00000000,0.00000000
4806.93994716,80.11566579,0.83888889,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,470.17106789,47.00000000,0.00000000
4838.77398655,80.64623311,0.84444444,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,492.35287324,47.00000000,0.00000000
4870.60802593,81.17680043,0.85000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,514.40839875,47.00000000,0.00000000
4902.44206532,81.70736776,0.85555556,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,536.25236691,47.00000000,0.00000000
4934.27610470,82.23793508,0.86111111,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,557.80941162,47.00000000,0.00000000
4966.11014409,82.76850240,0.86666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,579.01236106,47.00000000,0.00000000
4997.94418348,83.29906972,0.87222222,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,599.80087745,47.00000000,0.00000000
5029.77822286,83.82963705,0.87777778,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,620.12037942,47.00000000,0.00000000
5061.61226225,84.36020437,0.88333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,639.92118722,47.00000000,0.00000000
5093.44630163,84.89077169,0.88888889,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,659.15784307,47.00000000,0.00000000
5125.28034102,85.42133902,0.89444444,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,677.78856971,47.00000000,0.00000000
5157.11438040,85.95190634,0.90000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,695.77483760,47.00000000,0.00000000
5188.94841979,86.48247366,0.90555556,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,713.08101830,47.00000000,0.00000000
5220.78245917,87.01304099,0.91111111,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,729.67410606,47.00000000,0.00000000
5252.61649856,87.54360831,0.91666667,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,745.52349375,47.00000000,0.00000000
5284.45053794,88.07417563,0.92222222,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,760.60079207,47.00000000,0.00000000
5316.28457733,88.60474296,0.92777778,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,774.87968361,47.00000000,0.00000000
5348.11861671,89.13531028,0.93333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,788.33580475,47.00000000,0.00000000
5379.95265610,89.66587760,0.93888889,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,800.94665012,47.00000000,0.00000000
5411.78669548,90.19644492,0.94444444,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,812.69149519,47.00000000,0.00000000
5443.62073487,90.72701225,0.95000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,823.55133368,47.00000000,0.00000000
5475.45477425,91.25757957,0.95555556,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,833.50882689,47.00000000,0.00000000
5507.28881364,91.78814689,0.96111111,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,842.54826276,47.00000000,0.00000000
5539.12285302,92.31871422,0.96666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,850.65552293,47.00000000,0.00000000
5570.95689241,92.84928154,0.97222222,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,857.81805623,47.00000000,0.00000000
5602.79093179,93.37984886,0.97777778,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,864.02485748,47.00000000,0.00000000
5634.62497118,93.91041619,0.98333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,869.26645069,47.00000000,0.00000000
5666.45901056,94.44098351,0.98888889,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,873.53487580,47.00000000,0.00000000
5698.29304995,94.97155083,0.99444444,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,876.82367841,47.00000000,0.00000000
5730.12708933,95.50211816,1.00000000,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,879.12790203,47.00000000,0.00000000
