M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,57.5,0,0.9991909722222222,0.44305555555555554,0.99625,0.9805555555555555,3.4469704861111112,4.0,False
32,64,2048,57.5,6,0.9991388888888889,0.44305555555555554,0.995,0.9819444444444444,3.447199652777778,4.0,False
32,64,2048,56.5,10,0.9984791666666667,0.44027777777777777,0.99375,0.9569444444444445,3.6061302083333335,6.0,False
32,64,2048,54.5,25,0.9990104166666667,0.4388888888888889,0.99625,0.975,3.9227604166666667,4.0,False
32,64,2048,55.0,23,0.9990711805555555,0.43472222222222223,0.9975,0.975,3.8331597222222222,4.0,False
32,64,2048,55.5,17,0.9992395833333333,0.43333333333333335,0.9975,0.9763888888888889,3.761434027777778,4.0,False
32,64,2048,55.5,4,0.9990659722222223,0.43333333333333335,0.99625,0.975,3.7616631944444445,4.0,False
32,64,2048,58.0,15,0.9990572916666667,0.43194444444444446,0.9975,0.9722222222222222,3.3890243055555556,2.0,False
32,64,2048,55.5,19,0.9991857638888889,0.4305555555555556,0.99625,0.9722222222222222,3.7616875,4.0,False
32,64,2048,55.5,15,0.9991493055555556,0.42916666666666664,0.9975,0.9736111111111111,3.7613125,2.0,False
32,64,2048,58.0,16,0.9989097222222222,0.425,0.995,0.9875,3.389064236111111,2.0,False
32,64,2048,56.5,14,0.9980486111111111,0.41944444444444445,0.9925,0.9541666666666667,3.606112847222222,6.0,False
32,64,2048,57.0,26,0.9990920138888889,0.41805555555555557,0.9975,0.9736111111111111,3.5142604166666667,4.0,False
32,64,2048,57.0,22,0.9990086805555556,0.4125,0.9975,0.9722222222222222,3.514715277777778,4.0,False
32,64,2048,57.0,0,0.9988090277777778,0.4111111111111111,0.995,0.9777777777777777,3.5144027777777778,4.0,False
32,64,2048,54.5,6,0.9992135416666666,0.4097222222222222,0.9975,0.9777777777777777,3.9226006944444443,2.0,False
32,64,2048,56.0,1,0.9979600694444445,0.4097222222222222,0.9925,0.9458333333333333,3.6895399305555556,4.0,False
32,64,2048,57.0,2,0.9987447916666666,0.4083333333333333,0.995,0.9777777777777777,3.5143715277777776,4.0,False
32,64,2048,58.0,17,0.9989791666666666,0.40555555555555556,0.99625,0.9722222222222222,3.3888993055555554,2.0,False
32,64,2048,55.5,6,0.9990104166666667,0.4027777777777778,0.99625,0.9722222222222222,3.7620190972222223,4.0,False
32,64,2048,56.0,12,0.9981388888888889,0.4027777777777778,0.9925,0.9083333333333333,3.6896788194444445,6.0,False
32,64,2048,57.0,16,0.9989600694444445,0.4013888888888889,0.99625,0.9666666666666667,3.514263888888889,4.0,False
32,64,2048,55.0,9,0.9990138888888889,0.39861111111111114,0.99625,0.9694444444444444,3.8331788194444445,6.0,False
32,64,2048,57.0,18,0.9989652777777778,0.3958333333333333,0.995,0.9708333333333333,3.514529513888889,4.0,False
32,64,2048,54.5,14,0.9987569444444444,0.39444444444444443,0.99625,0.9583333333333334,3.9225850694444446,6.0,False
32,64,2048,58.0,29,0.9987847222222223,0.39305555555555555,0.99375,0.9722222222222222,3.3889097222222224,2.0,False
32,64,2048,56.0,19,0.9989652777777778,0.3902777777777778,0.99625,0.9694444444444444,3.689652777777778,4.0,False
32,64,2048,56.5,0,0.998296875,0.3902777777777778,0.99125,0.9736111111111111,3.605984375,4.0,False
32,64,2048,57.0,20,0.9990086805555556,0.3875,0.99625,0.9708333333333333,3.514168402777778,4.0,False
32,64,2048,55.5,21,0.9990295138888889,0.3861111111111111,0.99625,0.9680555555555556,3.7618107638888887,4.0,False
32,64,2048,55.5,0,0.9981631944444445,0.37916666666666665,0.99,0.9680555555555556,3.7616666666666667,2.0,False
32,64,2048,58.0,13,0.9990295138888889,0.37777777777777777,0.99625,0.9722222222222222,3.389046875,2.0,False
32,64,2048,57.0,24,0.9990277777777777,0.3763888888888889,0.99625,0.9708333333333333,3.513932291666667,4.0,False
32,64,2048,57.5,29,0.9988402777777777,0.3736111111111111,0.995,0.9666666666666667,3.4470104166666666,2.0,False
32,64,2048,54.0,22,0.9988663194444445,0.37222222222222223,0.9975,0.9680555555555556,3.9998315972222223,2.0,False
32,64,2048,56.5,1,0.9981111111111111,0.36944444444444446,0.9925,0.9513888888888888,3.605623263888889,4.0,False
32,64,2048,57.5,4,0.9990034722222222,0.36527777777777776,0.99625,0.9819444444444444,3.446826388888889,4.0,False
32,64,2048,55.0,31,0.9977621527777778,0.3638888888888889,0.99125,0.9402777777777778,3.833449652777778,4.0,False
32,64,2048,57.5,11,0.9988402777777777,0.3625,0.9975,0.9638888888888889,3.4466649305555555,2.0,False
32,64,2048,58.0,27,0.9990798611111111,0.3625,0.9975,0.9569444444444445,3.3891059027777777,2.0,False
32,64,2048,55.0,8,0.9989166666666667,0.3611111111111111,0.99625,0.9666666666666667,3.833204861111111,2.0,False
32,64,2048,54.5,10,0.9988836805555555,0.35694444444444445,0.9975,0.9722222222222222,3.92278125,2.0,False
32,64,2048,55.0,26,0.9991354166666667,0.3541666666666667,0.9975,0.9722222222222222,3.833270833333333,4.0,False
32,64,2048,57.0,30,0.9987013888888889,0.35,0.995,0.9736111111111111,3.514237847222222,4.0,False
32,64,2048,56.0,17,0.9990295138888889,0.3486111111111111,0.99625,0.9722222222222222,3.6902916666666665,4.0,False
32,64,2048,56.0,10,0.9985121527777778,0.3458333333333333,0.995,0.9527777777777777,3.690072916666667,6.0,False
32,64,2048,56.5,31,0.998140625,0.3458333333333333,0.9925,0.9527777777777777,3.606206597222222,4.0,False
32,64,2048,57.5,30,0.9990659722222223,0.34305555555555556,0.9975,0.9805555555555555,3.4472552083333334,4.0,False
32,64,2048,55.0,1,0.99771875,0.34305555555555556,0.99125,0.9388888888888889,3.8334722222222224,4.0,False
32,64,2048,57.0,8,0.9986371527777778,0.3402777777777778,0.99625,0.9722222222222222,3.5143385416666666,4.0,False
32,64,2048,56.5,30,0.9984947916666667,0.3402777777777778,0.995,0.9708333333333333,3.6056875,4.0,False
32,64,2048,56.0,6,0.9988454861111111,0.33611111111111114,0.995,0.9680555555555556,3.690092013888889,6.0,False
32,64,2048,56.0,0,0.9978402777777777,0.33611111111111114,0.99,0.9597222222222223,3.689934027777778,4.0,False
32,64,2048,57.0,28,0.9983715277777778,0.3347222222222222,0.9925,0.9666666666666667,3.5140034722222224,4.0,False
32,64,2048,54.0,29,0.9987013888888889,0.32916666666666666,0.995,0.9652777777777778,3.9992881944444445,4.0,False
32,64,2048,56.0,30,0.9983923611111111,0.32916666666666666,0.9925,0.9708333333333333,3.689894097222222,4.0,False
32,64,2048,56.5,24,0.9987847222222223,0.3263888888888889,0.99625,0.9638888888888889,3.6059600694444445,4.0,False
32,64,2048,55.5,30,0.9985121527777778,0.3263888888888889,0.995,0.9736111111111111,3.7617204861111113,2.0,False
32,64,2048,56.5,2,0.9982326388888889,0.325,0.99375,0.9736111111111111,3.6062274305555557,4.0,False
32,64,2048,58.0,11,0.9986336805555556,0.3236111111111111,0.995,0.9680555555555556,3.3890520833333335,2.0,False
