satellite_id,plane_id,slot_id,critical_space_time_cells,space_time_coverage_after_failure,full_region_time_coverage_after_failure,minimum_point_time_coverage_after_failure,worst_instantaneous_area_coverage_after_failure,maximum_full_region_outage_minutes,pass_full_region_99,pass_minimum_point_99,pass_both_99
252,5,12,0,1.0,1.0,1.0,1.0,0.0,True,True,True
253,5,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
254,5,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
255,5,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
256,5,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
257,5,17,0,1.0,1.0,1.0,1.0,0.0,True,True,True
258,5,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
259,5,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
260,5,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
261,5,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
262,5,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
263,5,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
264,5,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
265,5,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
266,5,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
267,5,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
268,5,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
269,5,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
270,5,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
271,5,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
272,5,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
273,5,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
274,5,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
275,5,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
276,5,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
277,5,37,0,1.0,1.0,1.0,1.0,0.0,True,True,True
278,5,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
279,5,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
280,5,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
281,5,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
282,5,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
283,5,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
284,5,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
285,5,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
286,5,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
287,5,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
288,6,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
289,6,1,1,0.9999950910486505,0.9965277777777778,0.9965277777777778,0.9985862219473347,5.0,True,True,True
290,6,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
291,6,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
292,6,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
